product_sk,product_code,category_id,valid_from,valid_to
1087,P100604,C12,2019-04-01,9999-12-31
1088,P100609,C14,2019-04-01,9999-12-31
1089,P100621,C06,2019-04-01,2024-05-31
1090,P100627,C02,2019-04-01,9999-12-31
1091,P100632,C13,2019-04-01,9999-12-31
1092,P100640,C10,2019-04-01,9999-12-31
1093,P100649,C05,2019-04-01,9999-12-31
1094,P100652,C07,2019-04-01,9999-12-31
1095,P100658,C12,2019-04-01,9999-12-31
1096,P100665,C10,2019-04-01,9999-12-31
1097,P100677,C13,2019-04-01,9999-12-31
1098,P100682,C09,2019-04-01,9999-12-31
1099,P100686,C04,2019-04-01,9999-12-31
1100,P100693,C13,2019-04-01,9999-12-31
1101,P100703,C09,2019-04-01,9999-12-31
1102,P100711,C01,2019-04-01,9999-12-31
1103,P100717,C08,2019-04-01,9999-12-31
1104,P100722,C12,2019-04-01,9999-12-31
1105,P100731,C13,2019-04-01,9999-12-31
1106,P100736,C09,2019-04-01,9999-12-31
1107,P100744,C11,2019-04-01,9999-12-31
1108,P100754,C11,2019-04-01,9999-12-31
1109,P100761,C11,2019-04-01,9999-12-31
1110,P100767,C10,2019-04-01,9999-12-31
1111,P100771,C09,2019-04-01,9999-12-31
1112,P100781,C07,2019-04-01,9999-12-31
1113,P100784,C03,2019-04-01,2024-05-31
1114,P100791,C02,2019-04-01,9999-12-31
1115,P100803,C05,2019-04-01,9999-12-31
1116,P100810,C06,2019-04-01,9999-12-31
1117,P100816,C09,2019-04-01,9999-12-31
1118,P100819,C04,2019-04-01,9999-12-31
1119,P100827,C04,2019-04-01,9999-12-31
1120,P100838,C11,2019-04-01,9999-12-31
1121,P100840,C03,2019-04-01,9999-12-31
1122,P100850,C10,2019-04-01,9999-12-31
1123,P100855,C07,2019-04-01,9999-12-31
1124,P100864,C13,2019-04-01,9999-12-31
1125,P100869,C14,2019-04-01,9999-12-31
1126,P100879,C12,2019-04-01,9999-12-31
1127,P100883,C02,2019-04-01,9999-12-31
1128,P100889,C05,2019-04-01,9999-12-31
1129,P100899,C12,2019-04-01,9999-12-31
1130,P100904,C13,2019-04-01,9999-12-31
1131,P100911,C11,2019-04-01,9999-12-31
1132,P100921,C07,2019-04-01,9999-12-31
1133,P100924,C01,2019-04-01,9999-12-31
1134,P100933,C13,2019-04-01,9999-12-31
1135,P100940,C08,2019-04-01,9999-12-31
1136,P100946,C01,2019-04-01,9999-12-31
1137,P100956,C05,2019-04-01,9999-12-31
1138,P100959,C03,2019-04-01,9999-12-31
1139,P100967,C09,2019-04-01,9999-12-31
1140,P100974,C11,2019-04-01,9999-12-31
1141,P100985,C08,2019-04-01,9999-12-31
1142,P100991,C02,2019-04-01,9999-12-31
1143,P100999,C12,2019-04-01,9999-12-31
1144,P101004,C09,2019-04-01,2024-05-31
1145,P101010,C10,2019-04-01,9999-12-31
1146,P101018,C12,2019-04-01,9999-12-31
1147,P101023,C06,2019-04-01,9999-12-31
1148,P101034,C14,2019-04-01,9999-12-31
1149,P101037,C08,2019-04-01,9999-12-31
1150,P101048,C05,2019-04-01,9999-12-31
1151,P101052,C13,2019-04-01,9999-12-31
1152,P101062,C11,2019-04-01,9999-12-31
1153,P101064,C13,2019-04-01,9999-12-31
1154,P101076,C05,2019-04-01,9999-12-31
1155,P101083,C07,2019-04-01,9999-12-31
1156,P101090,C13,2019-04-01,9999-12-31
1157,P101095,C12,2019-04-01,9999-12-31
1158,P101101,C10,2019-04-01,9999-12-31
1159,P101106,C02,2019-04-01,9999-12-31
1160,P101117,C04,2019-04-01,9999-12-31
1161,P101122,C01,2019-04-01,9999-12-31
1162,P101127,C12,2019-04-01,9999-12-31
1163,P101134,C04,2019-04-01,9999-12-31
1164,P101142,C10,2019-04-01,9999-12-31
1165,P101152,C08,2019-04-01,9999-12-31
1166,P101156,C06,2019-04-01,9999-12-31
1167,P101164,C03,2019-04-01,9999-12-31
1168,P101174,C02,2019-04-01,9999-12-31
1169,P101177,C11,2019-04-01,9999-12-31
1170,P101184,C14,2019-04-01,9999-12-31
1171,P101190,C01,2019-04-01,9999-12-31
1172,P101201,C11,2019-04-01,9999-12-31
1173,P101208,C04,2019-04-01,9999-12-31
1174,P101213,C13,2019-04-01,9999-12-31
1175,P101218,C08,2019-04-01,9999-12-31
1176,P101225,C14,2019-04-01,9999-12-31
1177,P101237,C10,2019-04-01,9999-12-31
1178,P101242,C13,2019-04-01,9999-12-31
1179,P101248,C03,2019-04-01,9999-12-31
1180,P101258,C03,2019-04-01,9999-12-31
1181,P101263,C07,2019-04-01,9999-12-31
1182,P101272,C06,2019-04-01,9999-12-31
1183,P101279,C12,2019-04-01,9999-12-31
1184,P101283,C03,2019-04-01,9999-12-31
1185,P101292,C02,2019-04-01,9999-12-31
1186,P101298,C10,2019-04-01,9999-12-31
1187,P101305,C01,2019-04-01,9999-12-31
1188,P101311,C05,2019-04-01,9999-12-31
1189,P101321,C03,2019-04-01,9999-12-31
1190,P101327,C08,2019-04-01,9999-12-31
1191,P101332,C07,2019-04-01,9999-12-31
1192,P101339,C05,2019-04-01,9999-12-31
1193,P101345,C02,2019-04-01,9999-12-31
1194,P101356,C05,2019-04-01,9999-12-31
1195,P101359,C07,2019-04-01,2024-05-31
1196,P101367,C03,2019-04-01,9999-12-31
1197,P101374,C13,2019-04-01,9999-12-31
1198,P101384,C06,2019-04-01,9999-12-31
1199,P101389,C03,2019-04-01,9999-12-31
1200,P101393,C06,2019-04-01,9999-12-31
1201,P101404,C02,2019-04-01,9999-12-31
1202,P101410,C09,2019-04-01,9999-12-31
1203,P101419,C09,2019-04-01,9999-12-31
1204,P101421,C01,2019-04-01,9999-12-31
1205,P101428,C03,2019-04-01,9999-12-31
1206,P101440,C12,2019-04-01,9999-12-31
1207,P101444,C05,2019-04-01,9999-12-31
1208,P101454,C14,2019-04-01,9999-12-31
1209,P101458,C04,2019-04-01,9999-12-31
1210,P101465,C07,2019-04-01,9999-12-31
1211,P101470,C12,2019-04-01,9999-12-31
1212,P101481,C06,2019-04-01,9999-12-31
1213,P101489,C04,2019-04-01,9999-12-31
1214,P101492,C13,2019-04-01,9999-12-31
1215,P101500,C04,2019-04-01,9999-12-31
1216,P101507,C02,2019-04-01,9999-12-31
1217,P101515,C12,2019-04-01,9999-12-31
1218,P101520,C05,2019-04-01,9999-12-31
1219,P101530,C07,2019-04-01,9999-12-31
1220,P101533,C09,2019-04-01,9999-12-31
1221,P101543,C13,2019-04-01,9999-12-31
1222,P101547,C11,2019-04-01,9999-12-31
1223,P101558,C01,2019-04-01,9999-12-31
1224,P101564,C03,2019-04-01,9999-12-31
1225,P101570,C09,2019-04-01,9999-12-31
1226,P101578,C11,2019-04-01,9999-12-31
1227,P101585,C01,2019-04-01,9999-12-31
1228,P101592,C07,2019-04-01,9999-12-31
1229,P101599,C08,2019-04-01,9999-12-31
1230,P101603,C09,2019-04-01,9999-12-31
1231,P101613,C01,2019-04-01,9999-12-31
1232,P101622,C02,2019-04-01,9999-12-31
1233,P101626,C09,2019-04-01,9999-12-31
1234,P101634,C03,2019-04-01,9999-12-31
1235,P101638,C14,2019-04-01,9999-12-31
1236,P101648,C06,2019-04-01,9999-12-31
1237,P101656,C14,2019-04-01,9999-12-31
1238,P101660,C11,2019-04-01,9999-12-31
1239,P101669,C11,2019-04-01,9999-12-31
1240,P101674,C03,2019-04-01,9999-12-31
1241,P101681,C14,2019-04-01,9999-12-31
1242,P101690,C05,2019-04-01,9999-12-31
1243,P101697,C12,2019-04-01,9999-12-31
1244,P101702,C08,2019-04-01,9999-12-31
1245,P101710,C14,2019-04-01,9999-12-31
1246,P101720,C06,2019-04-01,9999-12-31
1247,P101722,C05,2019-04-01,9999-12-31
1248,P101732,C09,2019-04-01,9999-12-31
1249,P101740,C04,2019-04-01,9999-12-31
1250,P101747,C02,2019-04-01,9999-12-31
1251,P101751,C03,2019-04-01,9999-12-31
1252,P101762,C09,2019-04-01,9999-12-31
1253,P101766,C10,2019-04-01,9999-12-31
1254,P101774,C09,2019-04-01,9999-12-31
1255,P101779,C06,2019-04-01,9999-12-31
1256,P101789,C02,2019-04-01,9999-12-31
1257,P101796,C05,2019-04-01,9999-12-31
1258,P101802,C06,2019-04-01,9999-12-31
1259,P101810,C09,2019-04-01,9999-12-31
1260,P101813,C12,2019-04-01,9999-12-31
1261,P101825,C11,2019-04-01,9999-12-31
1262,P101827,C05,2019-04-01,9999-12-31
1263,P101839,C14,2019-04-01,9999-12-31
1264,P101842,C06,2019-04-01,9999-12-31
1265,P101851,C04,2019-04-01,9999-12-31
1266,P101859,C14,2019-04-01,9999-12-31
1267,P101864,C01,2019-04-01,9999-12-31
1268,P101874,C12,2019-04-01,9999-12-31
1269,P101876,C11,2019-04-01,9999-12-31
1270,P101884,C10,2019-04-01,9999-12-31
1271,P101894,C09,2019-04-01,9999-12-31
1272,P101899,C08,2019-04-01,9999-12-31
1273,P101904,C07,2019-04-01,9999-12-31
1274,P101911,C04,2019-04-01,9999-12-31
1275,P101923,C08,2019-04-01,9999-12-31
1276,P101925,C07,2019-04-01,9999-12-31
1277,P101933,C09,2019-04-01,9999-12-31
1278,P101940,C10,2019-04-01,9999-12-31
1279,P101949,C05,2019-04-01,9999-12-31
1280,P101955,C08,2019-04-01,9999-12-31
1281,P101961,C07,2019-04-01,9999-12-31
1282,P101968,C01,2019-04-01,9999-12-31
1283,P101974,C08,2019-04-01,9999-12-31
1284,P101982,C07,2019-04-01,9999-12-31
1285,P101990,C14,2019-04-01,9999-12-31
1286,P102000,C01,2019-04-01,9999-12-31
1287,P102006,C04,2019-04-01,9999-12-31
1288,P102014,C13,2019-04-01,9999-12-31
1289,P102021,C14,2019-04-01,9999-12-31
1290,P102023,C10,2019-04-01,9999-12-31
1291,P102035,C02,2019-04-01,9999-12-31
1292,P102042,C02,2019-04-01,2024-05-31
1293,P102045,C03,2019-04-01,9999-12-31
1294,P102054,C11,2019-04-01,9999-12-31
1295,P102060,C12,2019-04-01,9999-12-31
1296,P102067,C06,2019-04-01,9999-12-31
1297,P102074,C02,2019-04-01,9999-12-31
1298,P102081,C03,2019-04-01,9999-12-31
1299,P102091,C12,2019-04-01,9999-12-31
1300,P102096,C09,2019-04-01,9999-12-31
1301,P102103,C08,2019-04-01,9999-12-31
1302,P102112,C10,2019-04-01,9999-12-31
1303,P102114,C11,2019-04-01,9999-12-31
1304,P102122,C03,2019-04-01,9999-12-31
1305,P102129,C06,2019-04-01,9999-12-31
1306,P102139,C05,2019-04-01,9999-12-31
1307,P102142,C02,2019-04-01,9999-12-31
1308,P102151,C05,2019-04-01,9999-12-31
1309,P102160,C09,2019-04-01,9999-12-31
1310,P102166,C08,2019-04-01,9999-12-31
1311,P102175,C12,2019-04-01,9999-12-31
1312,P102181,C04,2019-04-01,9999-12-31
1313,P102184,C04,2019-04-01,2024-05-31
1314,P102193,C03,2019-04-01,9999-12-31
1315,P102202,C13,2019-04-01,9999-12-31
1316,P102207,C14,2019-04-01,9999-12-31
1317,P102217,C12,2019-04-01,9999-12-31
1318,P102219,C05,2019-04-01,9999-12-31
1319,P102230,C07,2019-04-01,9999-12-31
1320,P102236,C05,2019-04-01,9999-12-31
1321,P102243,C06,2019-04-01,9999-12-31
1322,P102248,C12,2019-04-01,9999-12-31
1323,P102255,C12,2019-04-01,9999-12-31
1324,P102263,C14,2019-04-01,9999-12-31
1325,P102272,C09,2019-04-01,9999-12-31
1326,P102280,C07,2019-04-01,9999-12-31
1327,P102286,C03,2019-04-01,9999-12-31
1328,P102290,C09,2019-04-01,9999-12-31
1329,P102296,C13,2019-04-01,9999-12-31
1330,P102305,C10,2019-04-01,9999-12-31
1331,P102311,C02,2019-04-01,9999-12-31
1332,P102321,C14,2019-04-01,9999-12-31
1333,P102324,C02,2019-04-01,9999-12-31
1334,P102335,C13,2019-04-01,9999-12-31
1335,P102342,C14,2019-04-01,9999-12-31
1336,P102346,C14,2019-04-01,9999-12-31
1337,P102353,C06,2019-04-01,9999-12-31
1338,P102364,C01,2019-04-01,9999-12-31
1339,P102371,C12,2019-04-01,9999-12-31
1340,P102375,C08,2019-04-01,9999-12-31
1341,P102383,C01,2019-04-01,9999-12-31
1342,P102389,C07,2019-04-01,9999-12-31
1343,P102397,C14,2019-04-01,9999-12-31
1344,P102404,C04,2019-04-01,9999-12-31
1345,P102409,C06,2019-04-01,2024-05-31
1346,P102415,C05,2019-04-01,9999-12-31
1347,P102424,C06,2019-04-01,9999-12-31
1348,P102432,C09,2019-04-01,9999-12-31
1349,P102436,C07,2019-04-01,9999-12-31
1350,P102445,C01,2019-04-01,9999-12-31
1351,P102452,C06,2019-04-01,9999-12-31
1352,P102460,C02,2019-04-01,9999-12-31
1353,P102465,C05,2019-04-01,9999-12-31
1354,P102471,C03,2019-04-01,9999-12-31
1355,P102480,C11,2019-04-01,9999-12-31
1356,P102485,C11,2019-04-01,9999-12-31
1357,P102494,C01,2019-04-01,9999-12-31
1358,P102502,C08,2019-04-01,9999-12-31
1359,P102510,C14,2019-04-01,9999-12-31
1360,P102516,C05,2019-04-01,9999-12-31
1361,P102520,C05,2019-04-01,9999-12-31
1362,P102531,C10,2019-04-01,9999-12-31
1363,P102534,C01,2019-04-01,9999-12-31
1364,P102546,C07,2019-04-01,9999-12-31
1365,P102549,C02,2019-04-01,2024-05-31
1366,P102559,C11,2019-04-01,9999-12-31
1367,P102566,C02,2019-04-01,9999-12-31
1368,P102569,C14,2019-04-01,9999-12-31
1369,P102581,C11,2019-04-01,9999-12-31
1370,P102585,C06,2019-04-01,9999-12-31
1371,P102593,C01,2019-04-01,9999-12-31
1372,P102598,C12,2019-04-01,9999-12-31
1373,P102609,C10,2019-04-01,9999-12-31
1374,P102616,C01,2019-04-01,9999-12-31
1375,P102623,C14,2019-04-01,9999-12-31
1376,P102626,C14,2019-04-01,9999-12-31
1377,P102636,C06,2019-04-01,9999-12-31
1378,P102640,C13,2019-04-01,9999-12-31
1379,P102648,C08,2019-04-01,9999-12-31
1380,P102656,C11,2019-04-01,9999-12-31
1381,P102664,C03,2019-04-01,9999-12-31
1382,P102671,C13,2019-04-01,9999-12-31
1383,P102674,C07,2019-04-01,9999-12-31
1384,P102682,C02,2019-04-01,9999-12-31
1385,P102691,C06,2019-04-01,9999-12-31
1386,P102695,C09,2019-04-01,9999-12-31
1387,P102707,C10,2019-04-01,9999-12-31
1388,P102714,C10,2019-04-01,9999-12-31
1389,P102718,C08,2019-04-01,9999-12-31
1390,P102724,C07,2019-04-01,9999-12-31
1391,P102735,C07,2019-04-01,9999-12-31
1392,P102738,C09,2019-04-01,2024-05-31
1393,P102744,C11,2019-04-01,9999-12-31
1394,P102755,C11,2019-04-01,9999-12-31
1395,P102761,C12,2019-04-01,9999-12-31
1396,P102768,C13,2019-04-01,9999-12-31
1397,P102772,C11,2019-04-01,9999-12-31
1398,P102779,C14,2019-04-01,9999-12-31
1399,P102788,C05,2019-04-01,9999-12-31
1400,P102794,C04,2019-04-01,9999-12-31
1401,P102801,C08,2019-04-01,9999-12-31
1402,P102811,C02,2019-04-01,9999-12-31
1403,P102814,C02,2019-04-01,9999-12-31
1404,P102821,C04,2019-04-01,9999-12-31
1405,P102833,C05,2019-04-01,9999-12-31
1406,P102835,C14,2019-04-01,9999-12-31
1407,P102845,C02,2019-04-01,2024-05-31
1408,P102849,C09,2019-04-01,9999-12-31
1409,P102857,C01,2019-04-01,9999-12-31
1410,P102868,C03,2019-04-01,9999-12-31
1411,P102874,C02,2019-04-01,9999-12-31
1412,P102880,C05,2019-04-01,9999-12-31
1413,P102886,C11,2019-04-01,9999-12-31
1414,P102892,C08,2019-04-01,9999-12-31
1415,P102903,C01,2019-04-01,9999-12-31
1416,P102909,C12,2019-04-01,9999-12-31
1417,P102913,C14,2019-04-01,9999-12-31
1418,P102922,C13,2019-04-01,9999-12-31
1419,P102931,C05,2019-04-01,2024-05-31
1420,P102933,C09,2019-04-01,9999-12-31
1421,P102945,C03,2019-04-01,9999-12-31
1422,P102947,C12,2019-04-01,9999-12-31
1423,P102954,C10,2019-04-01,9999-12-31
1424,P102963,C08,2019-04-01,9999-12-31
1425,P102972,C10,2019-04-01,9999-12-31
1426,P102975,C13,2019-04-01,9999-12-31
1427,P102982,C13,2019-04-01,9999-12-31
1428,P102993,C05,2019-04-01,9999-12-31
1429,P102998,C03,2019-04-01,9999-12-31
1430,P103004,C11,2019-04-01,9999-12-31
1431,P103012,C10,2019-04-01,9999-12-31
1432,P103022,C14,2019-04-01,9999-12-31
1433,P103029,C01,2019-04-01,9999-12-31
1434,P103035,C05,2019-04-01,9999-12-31
1435,P103040,C07,2019-04-01,9999-12-31
1436,P103050,C04,2019-04-01,9999-12-31
1437,P103054,C12,2019-04-01,9999-12-31
1438,P103062,C11,2019-04-01,9999-12-31
1439,P103068,C02,2019-04-01,9999-12-31
1440,P103074,C01,2019-04-01,9999-12-31
1441,P103081,C08,2019-04-01,9999-12-31
1442,P103090,C05,2019-04-01,9999-12-31
1443,P103096,C03,2019-04-01,9999-12-31
1444,P103105,C03,2019-04-01,9999-12-31
1445,P103111,C02,2019-04-01,9999-12-31
1446,P103118,C11,2019-04-01,9999-12-31
1447,P103124,C03,2019-04-01,9999-12-31
1448,P103129,C13,2019-04-01,9999-12-31
1449,P103137,C10,2019-04-01,9999-12-31
1450,P103144,C11,2019-04-01,9999-12-31
1451,P103155,C03,2019-04-01,9999-12-31
1452,P103159,C04,2019-04-01,9999-12-31
1453,P103168,C09,2019-04-01,9999-12-31
1454,P103171,C11,2019-04-01,9999-12-31
1455,P103178,C13,2019-04-01,9999-12-31
1456,P103188,C01,2019-04-01,9999-12-31
1457,P103197,C09,2019-04-01,9999-12-31
1458,P103202,C14,2019-04-01,9999-12-31
1459,P103206,C03,2019-04-01,9999-12-31
1460,P103214,C05,2019-04-01,9999-12-31
1692,P104842,C14,2019-04-01,9999-12-31
1461,P103222,C14,2019-04-01,9999-12-31
1462,P103231,C02,2019-04-01,9999-12-31
1463,P103234,C03,2019-04-01,9999-12-31
1464,P103243,C06,2019-04-01,9999-12-31
1465,P103249,C02,2019-04-01,9999-12-31
1466,P103259,C12,2019-04-01,9999-12-31
1467,P103262,C11,2019-04-01,9999-12-31
1468,P103273,C14,2019-04-01,9999-12-31
1469,P103281,C08,2019-04-01,9999-12-31
1470,P103283,C11,2019-04-01,9999-12-31
1471,P103294,C02,2019-04-01,9999-12-31
1472,P103299,C08,2019-04-01,9999-12-31
1473,P103309,C11,2019-04-01,9999-12-31
1474,P103316,C09,2019-04-01,9999-12-31
1475,P103319,C06,2019-04-01,9999-12-31
1476,P103328,C07,2019-04-01,9999-12-31
1477,P103337,C06,2019-04-01,9999-12-31
1478,P103340,C08,2019-04-01,9999-12-31
1479,P103348,C05,2019-04-01,9999-12-31
1480,P103354,C04,2019-04-01,9999-12-31
1481,P103364,C12,2019-04-01,9999-12-31
1482,P103372,C01,2019-04-01,9999-12-31
1483,P103374,C01,2019-04-01,9999-12-31
1484,P103382,C06,2019-04-01,9999-12-31
1485,P103389,C13,2019-04-01,9999-12-31
1486,P103397,C04,2019-04-01,9999-12-31
1487,P103406,C09,2019-04-01,9999-12-31
1488,P103413,C05,2019-04-01,9999-12-31
1489,P103416,C03,2019-04-01,9999-12-31
1490,P103424,C10,2019-04-01,9999-12-31
1491,P103435,C08,2019-04-01,9999-12-31
1492,P103438,C02,2019-04-01,9999-12-31
1493,P103449,C06,2019-04-01,9999-12-31
1494,P103452,C05,2019-04-01,9999-12-31
1495,P103461,C14,2019-04-01,9999-12-31
1496,P103465,C08,2019-04-01,9999-12-31
1497,P103473,C10,2019-04-01,9999-12-31
1498,P103484,C13,2019-04-01,9999-12-31
1499,P103487,C10,2019-04-01,9999-12-31
1500,P103496,C13,2019-04-01,9999-12-31
1501,P103504,C10,2019-04-01,9999-12-31
1502,P103510,C06,2019-04-01,9999-12-31
1503,P103517,C12,2019-04-01,9999-12-31
1504,P103525,C06,2019-04-01,9999-12-31
1505,P103530,C03,2019-04-01,9999-12-31
1506,P103538,C06,2019-04-01,9999-12-31
1507,P103542,C14,2019-04-01,9999-12-31
1508,P103552,C12,2019-04-01,9999-12-31
1509,P103559,C05,2019-04-01,9999-12-31
1510,P103563,C01,2019-04-01,9999-12-31
1511,P103575,C06,2019-04-01,9999-12-31
1512,P103577,C14,2019-04-01,9999-12-31
1513,P103584,C07,2019-04-01,9999-12-31
1514,P103591,C13,2019-04-01,9999-12-31
1515,P103600,C06,2019-04-01,9999-12-31
1516,P103606,C11,2019-04-01,9999-12-31
1517,P103616,C05,2019-04-01,9999-12-31
1518,P103620,C04,2019-04-01,9999-12-31
1519,P103629,C03,2019-04-01,9999-12-31
1520,P103637,C08,2019-04-01,9999-12-31
1521,P103645,C12,2019-04-01,9999-12-31
1522,P103647,C12,2019-04-01,9999-12-31
1523,P103654,C02,2019-04-01,9999-12-31
1524,P103661,C13,2019-04-01,9999-12-31
1525,P103668,C05,2019-04-01,9999-12-31
1526,P103680,C04,2019-04-01,9999-12-31
1527,P103682,C07,2019-04-01,9999-12-31
1528,P103693,C12,2019-04-01,9999-12-31
1529,P103701,C05,2019-04-01,9999-12-31
1530,P103704,C03,2019-04-01,9999-12-31
1531,P103712,C09,2019-04-01,9999-12-31
1532,P103719,C09,2019-04-01,9999-12-31
1533,P103727,C10,2019-04-01,9999-12-31
1534,P103732,C06,2019-04-01,9999-12-31
1535,P103743,C04,2019-04-01,9999-12-31
1536,P103749,C01,2019-04-01,9999-12-31
1537,P103757,C11,2019-04-01,9999-12-31
1538,P103760,C01,2019-04-01,9999-12-31
1539,P103766,C06,2019-04-01,9999-12-31
1540,P103777,C06,2019-04-01,9999-12-31
1541,P103785,C14,2019-04-01,9999-12-31
1542,P103792,C02,2019-04-01,9999-12-31
1543,P103794,C05,2019-04-01,9999-12-31
1544,P103806,C04,2019-04-01,9999-12-31
1545,P103811,C04,2019-04-01,9999-12-31
1546,P103816,C13,2019-04-01,9999-12-31
1547,P103822,C07,2019-04-01,9999-12-31
1548,P103833,C05,2019-04-01,9999-12-31
1549,P103839,C13,2019-04-01,9999-12-31
1550,P103843,C07,2019-04-01,9999-12-31
1551,P103855,C03,2019-04-01,9999-12-31
1552,P103861,C11,2019-04-01,9999-12-31
1553,P103864,C05,2019-04-01,9999-12-31
1554,P103871,C11,2019-04-01,9999-12-31
1555,P103882,C08,2019-04-01,9999-12-31
1556,P103886,C04,2019-04-01,9999-12-31
1557,P103896,C08,2019-04-01,9999-12-31
1558,P103904,C05,2019-04-01,9999-12-31
1559,P103908,C14,2019-04-01,9999-12-31
1560,P103918,C02,2019-04-01,9999-12-31
1561,P103922,C01,2019-04-01,9999-12-31
1562,P103927,C11,2019-04-01,9999-12-31
1563,P103934,C03,2019-04-01,9999-12-31
1564,P103946,C04,2019-04-01,9999-12-31
1565,P103950,C05,2019-04-01,9999-12-31
1566,P103958,C01,2019-04-01,9999-12-31
1567,P103964,C11,2019-04-01,9999-12-31
1568,P103973,C01,2019-04-01,9999-12-31
1569,P103978,C06,2019-04-01,9999-12-31
1570,P103986,C03,2019-04-01,9999-12-31
1571,P103994,C12,2019-04-01,9999-12-31
1572,P103999,C11,2019-04-01,9999-12-31
1573,P104008,C11,2019-04-01,9999-12-31
1574,P104011,C02,2019-04-01,9999-12-31
1575,P104023,C02,2019-04-01,9999-12-31
1576,P104026,C11,2019-04-01,9999-12-31
1577,P104032,C07,2019-04-01,9999-12-31
1578,P104042,C10,2019-04-01,9999-12-31
1579,P104048,C10,2019-04-01,9999-12-31
1580,P104058,C07,2019-04-01,9999-12-31
